Specific absorption coefficients (m2 mg-1) for six phytoplankton classes distributed with the Water Color Simulator 6 (WASI6) [1]:

0. phytoplankton:   typical mixture for Lake Constance calculated by Heege (2000) [2];
                    using phytoplankton absorption spectra1 and pigment data from 32 days in 1990 and 1991,
                    and he validated it using 139 irradiance reflectance and 278 attenuation measurements3 from 1990 to 1996 [1]
1. cryptophyta:     average of 20 samples from Lake Constance from March 2020; 
                    absorption was measured using an integrating sphere by Soppa et al. 2020 (unpublished); 
                    pigment concentrations were measured using HPLC by Dröscher (LUBW) [1]
2. cyanobacteria:   obtained from field measurements by Xi et al. 2017 [3] in the Baltic Sea during a bloom of cyanobacteria (most likely Nodularia sp.);
                    measurements were made by Röttgers et al. (HZG) on RV Ardana in 2010. Gege scaled their normalized spectrum to match at 440 nm the diatoms spectrum [1]
3. diatoms:         derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]
4. dinoflagellates: derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]
5. green algae:     derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Heege (2000): Flugzeuggestützte Fernerkundung von Wasserinhaltsstoffen am Bodensee. PhD thesis. DLR-Forschungsbericht 2000-40, 134 p.
[3] Xi et al. (2017): Phytoplankton group identification using simulated and in situ hyperspectral remote sensing reflectance. [10.3389/fmars.2017.00272]
[4] Gege (1994): Gewässeranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.
[7] Gege (2013): Estimation of phytoplankton concentration from downwelling irradiance measurements in water. [10.1560/IJPS.60.1-2.193]

wavelength_nm,phytoplankton,cryptophyta,cyanobacteria,diatoms,dinoflagellates,green_algae
433,0.0339,0.024306,0.036827,0.036193376,0.051417,0.035438
434,0.0339,0.024435,0.036926,0.036287386,0.051259,0.035491
435,0.0339,0.024519,0.036974,0.036360382,0.051105,0.0355
436,0.0338,0.024548,0.036968,0.036410626,0.050955,0.035463
437,0.0338,0.024519,0.0369,0.036436538,0.05081,0.03538
438,0.0337,0.024444,0.036781,0.036436538,0.050668,0.03525
439,0.0336,0.024311,0.036601,0.036409836,0.050532,0.035074
440,0.0335,0.024122,0.036356,0.036355958,0.050398,0.034855
441,0.0334,0.023886,0.036049,0.03627443,0.050269,0.034594
442,0.0332,0.023616,0.035664,0.03616541,0.050144,0.034295
443,0.0331,0.023319,0.035183,0.036029372,0.050021,0.03396
444,0.0329,0.022993,0.034664,0.035867422,0.049903,0.033596
445,0.0327,0.022666,0.034113,0.035679876,0.049786,0.033204
446,0.0325,0.022352,0.033541,0.035468472,0.049671,0.032791
447,0.0323,0.022045,0.032964,0.035234316,0.049559,0.03236
448,0.0321,0.021764,0.032377,0.034978672,0.049447,0.031916
449,0.0318,0.021516,0.031771,0.034703278,0.049339,0.031465
450,0.0316,0.021306,0.031175,0.034409872,0.049228,0.03101
451,0.0314,0.021138,0.030644,0.03410035,0.049119,0.030557
452,0.0312,0.021003,0.030181,0.033775502,0.049009,0.030108
453,0.031,0.02091,0.029755,0.033437698,0.048898,0.029668
454,0.0307,0.020853,0.029363,0.033088202,0.048786,0.029241
455,0.0305,0.020825,0.029019,0.032729542,0.048671,0.028831
456,0.0304,0.020818,0.028717,0.032362666,0.048554,0.02844
457,0.0302,0.020819,0.02845,0.031989312,0.048433,0.02807
458,0.03,0.020827,0.028222,0.031612166,0.048309,0.027727
459,0.0298,0.020836,0.028012,0.031232808,0.048182,0.02741
460,0.0297,0.020832,0.02782,0.030853134,0.048048,0.027124
461,0.0295,0.020817,0.027637,0.030475672,0.047911,0.026868
462,0.0294,0.020782,0.027469,0.030102318,0.047766,0.026646
463,0.0293,0.02072,0.027334,0.029734652,0.047617,0.026458
464,0.0291,0.020628,0.027212,0.02937615,0.047462,0.026304
465,0.029,0.020498,0.027089,0.029028234,0.047298,0.026186
466,0.0289,0.020336,0.02696,0.0286928,0.04713,0.026104
467,0.0288,0.020142,0.026829,0.028372218,0.046951,0.026056
468,0.0286,0.019919,0.02669,0.028068226,0.046767,0.026042
469,0.0285,0.019665,0.026531,0.027782562,0.046574,0.02606
470,0.0284,0.019382,0.026354,0.027516648,0.046372,0.026108
471,0.0282,0.019068,0.026156,0.027271748,0.046165,0.026183
472,0.0281,0.018732,0.025949,0.027048494,0.045947,0.026281
473,0.028,0.018392,0.025763,0.026848308,0.045722,0.026395
474,0.0278,0.01805,0.025591,0.026670874,0.045488,0.026523
475,0.0277,0.017708,0.025431,0.026516824,0.045245,0.026656
476,0.0275,0.017376,0.025284,0.026385684,0.044996,0.026787
477,0.0274,0.017053,0.025151,0.026276664,0.044735,0.026908
478,0.0272,0.016754,0.025031,0.026188816,0.044471,0.02701
479,0.0271,0.016488,0.024927,0.026120876,0.044195,0.027086
480,0.027,0.016261,0.024838,0.026070948,0.043913,0.027126
481,0.0268,0.016075,0.024764,0.026036662,0.043624,0.027123
482,0.0267,0.015923,0.024705,0.02601549,0.043326,0.027068
483,0.0265,0.015811,0.024665,0.026004114,0.043025,0.026958
484,0.0264,0.015737,0.024642,0.025999216,0.042712,0.026786
485,0.0262,0.0157,0.024609,0.025997004,0.042396,0.02655
486,0.0261,0.015693,0.024558,0.025993844,0.042075,0.026251
487,0.0259,0.015712,0.024503,0.025985154,0.041745,0.025889
488,0.0258,0.015752,0.024457,0.025967458,0.041414,0.025468
489,0.0256,0.015797,0.024418,0.025936174,0.041075,0.024993
490,0.0254,0.015845,0.024377,0.025888142,0.040734,0.024469
491,0.0253,0.015894,0.024323,0.025820044,0.040388,0.023904
492,0.0251,0.015932,0.024259,0.02572951,0.040036,0.023305
493,0.0249,0.015958,0.024188,0.02561417,0.039686,0.02268
494,0.0247,0.015962,0.024106,0.025473076,0.039328,0.022036
495,0.0245,0.015939,0.024002,0.025306228,0.038971,0.021381
496,0.0243,0.015891,0.023879,0.025113626,0.03861,0.020721
497,0.024,0.01581,0.023748,0.02489685,0.038247,0.020062
498,0.0238,0.015697,0.023616,0.024657322,0.037886,0.019408
499,0.0235,0.015549,0.023482,0.024397886,0.037519,0.018765
500,0.0232,0.015369,0.023337,0.024121544,0.037156,0.018136
501,0.0229,0.015157,0.023156,0.02383114,0.03679,0.017522
502,0.0227,0.014916,0.022936,0.023529834,0.036425,0.016927
503,0.0223,0.01465,0.0227,0.023221576,0.036061,0.016353
504,0.022,0.014363,0.022445,0.02290842,0.035695,0.015799
505,0.0217,0.014059,0.022206,0.022594316,0.035334,0.015267
506,0.0214,0.013739,0.021994,0.022281634,0.03497,0.014758
507,0.0211,0.013412,0.021791,0.021972586,0.03461,0.01427
508,0.0208,0.013077,0.021586,0.021669384,0.034253,0.013804
509,0.0204,0.012742,0.021376,0.021373292,0.033893,0.013359
510,0.0201,0.01242,0.021214,0.021086206,0.033541,0.012935
511,0.0198,0.01211,0.021102,0.0208086,0.033187,0.012531
512,0.0195,0.011815,0.020999,0.020541264,0.032835,0.012146
513,0.0192,0.011535,0.020897,0.020284672,0.032489,0.01178
514,0.019,0.011271,0.020793,0.020038824,0.032144,0.011432
515,0.0187,0.011028,0.02069,0.019803404,0.031802,0.0111
516,0.0185,0.010812,0.020587,0.019578254,0.031465,0.010786
517,0.0182,0.010626,0.020484,0.0193629,0.031128,0.010486
518,0.018,0.010466,0.020383,0.019156394,0.030799,0.010201
519,0.0178,0.010329,0.020304,0.01895842,0.030468,0.009931
520,0.0176,0.010212,0.020254,0.018767872,0.030144,0.009673
521,0.0174,0.010118,0.020236,0.01858396,0.029824,0.009429
522,0.0173,0.01005,0.020239,0.018405894,0.029505,0.009196
523,0.0171,0.010001,0.020248,0.018232568,0.029193,0.008975
524,0.0169,0.009966,0.020263,0.018063034,0.028881,0.008764
525,0.0168,0.009943,0.02029,0.017896818,0.028576,0.008565
526,0.0167,0.009935,0.020342,0.017732656,0.028274,0.008374
527,0.0166,0.009939,0.020422,0.017569916,0.027975,0.008194
528,0.0164,0.009953,0.020529,0.017407808,0.027682,0.008022
529,0.0163,0.009976,0.020655,0.017245858,0.02739,0.007858
530,0.0162,0.010007,0.020777,0.017083276,0.027105,0.007703
531,0.0161,0.01004,0.020865,0.016919746,0.026821,0.007556
532,0.0161,0.010073,0.020951,0.016754478,0.026542,0.007416
533,0.016,0.01011,0.02109,0.016587788,0.026269,0.007283
