Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 0.1 or 10 % [1]
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
395,0.1,0.149218453,0.045945492,0.141906076,0.029881377,0.01371
396,0.1,0.149155157,0.046222112,0.140715335,0.03005108,0.01362
397,0.1,0.148622755,0.046554796,0.138071712,0.030406152,0.01354
398,0.1,0.147928379,0.046816688,0.135374633,0.030510735,0.01346
399,0.1,0.147875462,0.046872289,0.135213643,0.02996373,0.01338
400,0.1,0.148033715,0.046826818,0.135819287,0.02883551,0.0133
401,0.1,0.147825013,0.046836142,0.135915564,0.027601167,0.0132
402,0.1,0.147911271,0.046939942,0.136084543,0.027205918,0.0131
403,0.1,0.1482456,0.047194225,0.135693704,0.027262235,0.01298
404,0.1,0.148398436,0.047557516,0.134211415,0.027096909,0.01285
405,0.1,0.148403857,0.04781057,0.13260986,0.027172736,0.01272
406,0.1,0.148318369,0.047994553,0.131247675,0.02746395,0.01257
407,0.1,0.148224852,0.048270633,0.129958123,0.027560242,0.01243
408,0.1,0.148158235,0.048549009,0.128545887,0.02753177,0.01229
409,0.1,0.148207067,0.048794187,0.127049527,0.02745974,0.01215
410,0.1,0.148421526,0.049056039,0.125997892,0.027207231,0.01201
411,0.1,0.148704781,0.049322711,0.125252274,0.026856624,0.01189
412,0.1,0.148950805,0.049583155,0.12458061,0.026488172,0.01178
413,0.1,0.149246941,0.049824579,0.124001372,0.026029832,0.01168
414,0.1,0.149606993,0.050035365,0.123478487,0.025555007,0.01159
415,0.1,0.150026671,0.050229553,0.122954698,0.025177682,0.01151
416,0.1,0.150512467,0.050406463,0.122423945,0.024853676,0.01142
417,0.1,0.151070498,0.050564165,0.121905514,0.024548939,0.01134
418,0.1,0.151668634,0.050704666,0.121408968,0.024223034,0.01125
419,0.1,0.152278781,0.050829394,0.120936251,0.023836405,0.01115
420,0.1,0.152873008,0.050943905,0.12048341,0.023402149,0.01105
421,0.1,0.153470839,0.051059445,0.120010498,0.023029954,0.01094
422,0.1,0.154082996,0.051186353,0.11949449,0.022756635,0.01083
423,0.1,0.154677709,0.051334909,0.11894228,0.022474157,0.01073
424,0.1,0.15524045,0.051511089,0.118331861,0.022173425,0.01064
425,0.1,0.155761516,0.051717724,0.117649316,0.021887155,0.01056
426,0.1,0.156243491,0.051962947,0.116902584,0.021624487,0.01049
427,0.1,0.156688331,0.052252661,0.11609915,0.021408318,0.01043
428,0.1,0.157086174,0.052594653,0.11525705,0.021255419,0.01037
429,0.1,0.157444847,0.052987115,0.114391659,0.021148942,0.01032
430,0.1,0.157782236,0.05342723,0.11350889,0.02107447,0.01028
431,0.1,0.158106356,0.053915591,0.112575487,0.021014229,0.01022
432,0.1,0.158423999,0.054446016,0.111611174,0.020982372,0.01017
433,0.1,0.158739793,0.055012663,0.11069215,0.021040912,0.01011
434,0.1,0.159061691,0.055610423,0.109844087,0.021170725,0.01005
435,0.1,0.159396979,0.056235808,0.109086218,0.021343748,0.009988
436,0.1,0.159757692,0.056882405,0.108451376,0.02156323,0.009928
437,0.1,0.160155895,0.05754284,0.107949785,0.021779439,0.009873
438,0.1,0.160604243,0.058211684,0.107587765,0.021935962,0.009823
439,0.1,0.161107265,0.058886433,0.107451039,0.022139497,0.009781
440,0.1,0.16165268,0.059564466,0.107533094,0.022451894,0.009745
441,0.1,0.162234508,0.060238357,0.107711988,0.022838766,0.009714
442,0.1,0.162873736,0.06089813,0.108101025,0.023231765,0.009689
443,0.1,0.163597186,0.061536474,0.108831463,0.023580978,0.009666
444,0.1,0.164363062,0.062154394,0.109742621,0.02396076,0.009645
445,0.1,0.165146367,0.062748316,0.110729751,0.024351135,0.009627
446,0.1,0.165937985,0.063311448,0.111763637,0.024709984,0.009612
447,0.1,0.166760227,0.063841701,0.112852617,0.025067269,0.009598
448,0.1,0.167599516,0.06433812,0.114011342,0.025430893,0.009588
449,0.1,0.168423716,0.064807935,0.11527472,0.025795527,0.009582
450,0.1,0.169223126,0.065250429,0.11657,0.02618241,0.009577
451,0.1,0.169999647,0.065662684,0.117766668,0.026595837,0.009575
452,0.1,0.170762436,0.066050031,0.118919003,0.027035889,0.009572
453,0.1,0.171509066,0.066421087,0.120022083,0.027471898,0.009567
454,0.1,0.172236521,0.066776896,0.120994264,0.027848253,0.009557
455,0.1,0.172939379,0.06711467,0.121958913,0.028089261,0.009541
456,0.1,0.173617111,0.067434845,0.122978092,0.028189525,0.009518
457,0.1,0.174278894,0.067739773,0.123896759,0.02836742,0.009489
458,0.1,0.17492429,0.068025228,0.124663105,0.028571661,0.009457
459,0.1,0.17555938,0.068294235,0.12525764,0.028616733,0.009425
460,0.1,0.176194821,0.068556749,0.12575654,0.028608779,0.009395
461,0.1,0.176840732,0.06881088,0.126219021,0.028605752,0.00937
462,0.1,0.177507706,0.069044765,0.126654827,0.028557548,0.009349
463,0.1,0.178193931,0.069266192,0.127049663,0.028493005,0.009332
464,0.1,0.178893547,0.069487067,0.127378871,0.028442449,0.009321
465,0.1,0.179631916,0.069715481,0.127696701,0.028347387,0.009313
466,0.1,0.1804135,0.06995478,0.128038846,0.028194486,0.009309
467,0.1,0.181217241,0.070198337,0.128415632,0.028045524,0.00931
468,0.1,0.182043969,0.070449138,0.128792693,0.027912836,0.009316
469,0.1,0.182895881,0.070712831,0.129130226,0.02778572,0.009329
470,0.1,0.18376965,0.070987516,0.129437133,0.027674881,0.009347
